,Serial_No,Route_No,Origin,Destination,No_of_Buses,Buses_Per_Day,Distance_KM,Trips_Per_Day,KM_Per_Day,Travel_Time
0,1.0,2,COLOMBO,MATARA,12,12,160.2,24,3844.8,0 days 04:45:00
1,2.0,2/4-3,ANURADHAPURA,MATARA,3,3,376.0,4,1504.0,0 days 10:30:00
2,3.0,2/8,MATARA,MATALE,2,2,301.7,2,603.4,0 days 09:00:00
3,4.0,2/ 48,KADURUWELA,MATARA,2,2,382.4,2,764.8,0 days 10:40:00
4,5.0,3 - 1,COLOMBO,EMBILIPITIYA,1,1,165.8,2,331.6,0 days 04:25:00
5,6.0,3/15/87,HAMBANTOTA,JAFFNA,2,1,488.6,2,977.2,0 days 15:00:00
6,7.0,4,COLOMBO,MANNAR,13,12,330.0,24,7920.0,0 days 08:15:00
7,8.0,4 - 1,COLOMBO,TALAIMANNAR,2,2,361.5,2,723.0,0 days 09:00:00
8,9.0,4 - 3,COLOMBO,ANURADHAPURA,6,6,216.4,12,2596.8,0 days 05:30:00
9,10.0,4 - 3/842-1	,COLOMBO,PULMUDE,3,3,310.2,6,1861.2,0 days 07:50:00
10,11.0,4/844,COLOMBO,SRIPURA,2,2,308.2,4,1232.8,0 days 07:50:00
11,12.0,4/86,PUTTALAM,KALMUNAI,2,2,314.1,2,628.2,0 days 08:00:00
12,13.0,7,COLOMBO,KALPITIYA,1,1,171.0,2,342.0,0 days 04:35:00
13,14.0,10,KATARAGAMA,KANDY,2,2,280.0,2,560.0,0 days 08:00:00
14,15.0,13 - 2,COLOMBO,DAYAGAMA,1,1,163.7,2,327.4,0 days 05:00:00
15,16.0,14,KANDY,MONARAGALA,1,1,160.2,2,320.4,0 days 04:45:00
16,17.0,15 - 1 - 1,COLOMBO,ANURADHAPURA,19,17,222.3,34,7558.2,0 days 05:45:00
17,18.0,15 - 7,COLOMBO,VAVUNIYA,26,24,285.7,48,13714.0,0 days 07:00:00
18,19.0,15 -11,COLOMBO,JANAKAPURA,1,1,354.2,2,708.4,0 days 08:45:00
19,20.0,15/ 82,COLOMBO,MULATHIVU,1,1,328.0,2,656.0,0 days 08:30:00
20,21.0,15/ 87,COLOMBO,JAFFNA,6,6,429.0,6,2574.0,0 days 10:45:00
21,22.0,15/819,COLOMBO,NANDIKADAL,1,1,402.5,2,805.0,0 days 09:45:00
22,23.0,15-22/87/769,MORATUWA,KANKASANTURE,2,2,438.3,2,876.6,0 days 11:50:00
23,24.0,17,PANADURA,KANDY,8,8,147.3,16,2356.8,0 days 04:30:00
24,25.0,17/48,PANADURA,KADURUWELA,1,1,252.1,2,504.2,0 days 07:00:00
25,26.0,18 - 2,COLOMBO,HATTON,1,1,120.6,2,241.2,0 days 04:00:00
26,27.0,18/727,COLOMBO,UDAPUSSELLAWA,2,2,224.0,2,448.0,0 days 07:15:00
27,28.0,21,BADULLA,KANDY,13,13,121.0,26,3146.0,0 days 03:45:00
28,29.0,21 - 6,COLOMBO,BADULLA,1,1,236.1,2,472.2,0 days 06:35:00
29,30.0,21-1/245,KATUNAYAKA,BADULLA,1,1,249.0,2,498.0,0 days 06:30:00
30,31.0,21/ 910/ 1,KALMUNAI,COLOMBO,1,1,364.0,1,364.0,0 days 09:30:00
31,32.0,22- 8,COLOMBO,AMPARA,8,8,314.0,8,2512.0,0 days 08:50:00
32,33.0,22 - 9,COLOMBO,NINDAVUR,1,1,360.1,1,360.1,0 days 09:30:00
33,34.0,31 - 1,MATARA,NUWARAELIYA,2,2,251.3,4,1005.2,0 days 07:10:00
34,35.0,32,COLOMBO,KATARAGAMA,25,23,292.5,42,12285.0,0 days 08:00:00
35,36.0,32 -1,COLOMBO,HAMBANTOTA,5,5,243.0,10,2430.0,0 days 07:00:00
36,37.0,32 - 2,COLOMBO,LUNUGAMVEHERA,1,1,282.2,2,564.4,0 days 06:30:00
37,38.0,32 - 4,COLOMBO,TANGALLE,10,8,201.1,16,3217.6,0 days 05:45:00
38,39.0,32- 4/87,TANGALLE,JAFFNA,2,2,616.0,2,1232.0,0 days 16:30:00
39,40.0,32- 7/1,WALASMULLA,KANDY,2,2,313.0,2,626.0,0 days 09:30:00
40,41.0,32/ 49,TANGALLE,TRINCOMALEE,4,4,463.3,4,1853.2,0 days 12:30:00
41,42.0,32/ 87-3,TANGALLE,MULATHIVU,2,2,556.0,2,1112.0,0 days 14:00:00
42,43.0,32/493,COLOMBO,ANGUNAKOLAPELESSA,2,2,220.2,4,880.8,0 days 06:15:00
43,44.0,32/574,COLOMBO,ANGUNAKOLAPELESSA,1,1,217.0,2,434.0,0 days 06:15:00
44,45.0,38,COLOMBO,BIBILA,4,4,231.0,6,1386.0,0 days 07:20:00
45,46.0,38 - 1,COLOMBO,MAHIYANGANAYA,4,4,192.4,8,1539.2,0 days 06:20:00
46,47.0,38 - 3,COLOMBO,DEHIATTAKANDIYA,2,2,237.2,4,948.8,0 days 07:20:00
47,48.0,38 - 4,COLOMBO,AMPARA,2,2,312.0,2,624.0,0 days 08:35:00
48,50.0,43 - 1,KANDY,MANNAR,1,1,234.0,2,468.0,0 days 05:50:00
